date,nav,daily_ret,regime,exposure,dd,n_positions,breaker,month
2021-11-11,0.9774445534254363,8.957449495441116e-05,bull,0.0009765625,-0.09191996203158358,10,0.5,2021-11
2021-11-12,0.9775211964577921,7.841164195666848e-05,bull,0.00048828125,-0.09184875798477833,10,0.5,2021-11
2021-11-15,0.9775985430785744,7.912526200198063e-05,bull,0.000244140625,-0.09177690027981637,10,0.5,2021-11
2021-11-16,0.9776748282724324,7.803325239995093e-05,bull,0.0001220703125,-0.09170602867744038,10,0.5,2021-11
2021-11-17,0.9777532052222283,8.016668480097189e-05,bull,6.103515625e-05,-0.09163321376093475,10,0.5,2021-11
2021-11-18,0.9778302611717653,7.880920167329011e-05,bull,3.0517578125e-05,-0.09156162609968478,10,0.5,2021-11
2021-11-19,0.9779080369601085,7.953915053731074e-05,bull,1.52587890625e-05,-0.09148936968310929,10,0.5,2021-11
2021-11-22,0.9779857052277866,7.942287489489407e-05,bull,7.62939453125e-06,-0.09141721315697707,10,0.5,2021-11
2021-11-23,0.9780633060310697,7.934758439540835e-05,bull,3.814697265625e-06,-0.09134511930761778,10,0.5,2021-11
2021-11-24,0.9781409320748888,7.936709550447405e-05,bull,1.9073486328125e-06,-0.09127300200892133,10,0.5,2021-11
2021-11-25,0.9782185659918269,7.93688459324745e-05,bull,9.5367431640625e-07,-0.09120087739582314,10,0.5,2021-11
2021-11-26,0.9688088484703336,-0.009619238326306602,bull,1.0,-0.09994283274689111,10,0.5,2021-11
2021-11-29,0.9818032157320861,0.013412725618959393,bull,0.5,-0.0878706129211474,10,0.5,2021-11
2021-11-30,0.9830582353802093,0.00127828023784527,bull,0.25,-0.0867046559512866,10,0.5,2021-11
2021-12-01,0.9840029066392703,0.0009609514727229197,bull,0.125,-0.08582702344539206,10,0.5,2021-12
2021-12-02,0.983497211536908,-0.0005139162688953924,bull,0.0625,-0.08629683181062803,10,0.5,2021-12
2021-12-03,0.9841933496646473,0.0007078191168956912,bull,0.03125,-0.08565009524101547,10,0.5,2021-12
2021-12-06,0.9836380817439998,-0.0005641858084457976,bull,0.015625,-0.08616595848123426,10,0.5,2021-12
2021-12-07,0.9835721467300872,-6.703178245775678e-05,bull,0.0078125,-0.08622721440590782,10,0.5,2021-12
2021-12-08,0.9837603116600429,0.00019130770486055408,bull,0.00390625,-0.08605240263153181,10,0.5,2021-12
2021-12-09,0.9838142032766267,5.478124696139422e-05,bull,0.001953125,-0.0860023354424906,10,0.5,2021-12
2021-12-10,0.9839042829135343,9.156163491796567e-05,bull,0.0009765625,-0.08591864832201249,10,0.5,2021-12
2021-12-13,0.9839837082277001,8.072463505352796e-05,bull,0.00048828125,-0.08584485943848902,10,0.5,2021-12
2021-12-14,0.9840622091757933,7.977870714398685e-05,bull,0.000244140625,-0.0857719293232459,10,0.5,2021-12
2021-12-15,0.9841402682685985,7.932333146962593e-05,bull,0.0001220703125,-0.08569940970695684,10,0.5,2021-12
2021-12-16,0.9842198064244354,8.081993837811459e-05,bull,6.103515625e-05,-0.08562551598959023,10,0.5,2021-12
2021-12-17,0.9842976655243667,7.910743049781386e-05,bull,3.0517578125e-05,-0.0855531821736474,10,0.5,2021-12
2021-12-20,0.9843755082676672,7.908455544201084e-05,bull,1.52587890625e-05,-0.08548086355358436,10,0.5,2021-12
2021-12-21,0.9844537289474067,7.946223680144399e-05,bull,7.62939453125e-06,-0.08540819381740461,10,0.5,2021-12
2021-12-22,0.9845319205275872,7.942636396339979e-05,bull,3.814697265625e-06,-0.08533555111572878,10,0.5,2021-12
2021-12-23,0.9846100474302951,7.935436229025927e-05,bull,1.9073486328125e-06,-0.08526296850167796,10,0.5,2021-12
2021-12-24,0.9846881546822699,7.932810779108485e-05,bull,9.5367431640625e-07,-0.08519040414384273,10,0.5,2021-12
2021-12-27,1.007605631820529,0.023273842616349957,bull,1.0,-0.06389926958595983,10,0.5,2021-12
2021-12-28,1.0002683049245353,-0.007281943117702506,bull,1.0,-0.07071590185727461,10,1.0,2021-12
2021-12-29,1.0147992923311882,0.0145270897169424,bull,1.0,-0.05721610839102715,10,1.0,2021-12
2021-12-30,1.03892337873498,0.02377227357773797,bull,1.0,-0.03480399179501415,10,1.0,2021-12
2021-12-31,1.0492286290024904,0.009919162931975103,bull,1.0,-0.025230055328336977,10,1.0,2021-12
2022-01-04,1.092475894876339,0.04121815272517288,bull,1.0,0.0,10,1.0,2022-01
2022-01-05,1.061728074787735,-0.02814507874527009,recover,1.0,-0.028145078745270113,10,1.0,2022-01
2022-01-06,1.093948057212618,0.030346736786935453,recover,1.0,0.0,10,1.0,2022-01
2022-01-07,1.0524928467073997,-0.03789504467958572,recover,1.0,-0.03789504467958573,10,1.0,2022-01
2022-01-10,1.06609877100449,0.012927331848054835,recover,1.0,-0.02545759464950093,10,1.0,2022-01
2022-01-11,1.079018232677618,0.012118447206308204,recover,1.0,-0.013647653959952202,10,1.0,2022-01
2022-01-12,1.0839790411950931,0.004597520567529867,recover,1.0,-0.009112878762201774,10,1.0,2022-01
2022-01-13,1.0708279216443253,-0.01213226367944218,recover,1.0,-0.021134582593622202,10,1.0,2022-01
2022-01-14,1.0804550224885778,0.008990334160758052,recover,1.0,-0.012334255392728926,10,1.0,2022-01
2022-01-17,1.097045760870157,0.015355325336325623,recover,1.0,0.0,10,1.0,2022-01
